"rental_date","return_date","film_title","store_address","customer_name","customer_email","customer_address"
"2005-05-24 22:53:30","2005-05-26 22:04:30","BLANKET BEVERLY","47 MySakila Drive","HUNTER, CHARLOTTE","CHARLOTTE.HUNTER@sakilacustomer.org","758 Junan Lane"
"2005-05-24 22:54:33","2005-05-28 19:40:33","FREAKY POCUS","28 MySQL Boulevard","COLLAZO, TOMMY","TOMMY.COLLAZO@sakilacustomer.org","76 Kermanshah Manor"
"2005-05-24 23:03:39","2005-06-01 22:12:39","GRADUATE LORD","28 MySQL Boulevard","MURRELL, MANUEL","MANUEL.MURRELL@sakilacustomer.org","692 Amroha Drive"
"2005-05-24 23:04:41","2005-06-03 01:43:41","LOVE SUICIDES","47 MySakila Drive","PURDY, ANDREW","ANDREW.PURDY@sakilacustomer.org","431 Szkesfehrvr Avenue"
"2005-05-24 23:05:21","2005-06-02 04:33:21","IDOLS SNATCHERS","28 MySQL Boulevard","HANSEN, DELORES","DELORES.HANSEN@sakilacustomer.org","810 Palghat (Palakkad) Boulevard"
"2005-05-24 23:08:07","2005-05-27 01:32:07","MYSTIC TRUMAN","47 MySakila Drive","CHRISTENSON, NELSON","NELSON.CHRISTENSON@sakilacustomer.org","1764 Jalib al-Shuyukh Parkway"
"2005-05-24 23:11:53","2005-05-29 20:34:53","SWARM GOLD","28 MySQL Boulevard","WALTERS, CASSANDRA","CASSANDRA.WALTERS@sakilacustomer.org","920 Kumbakonam Loop"
"2005-05-24 23:31:46","2005-05-27 23:33:46","LAWLESS VISION","47 MySakila Drive","ROMERO, MINNIE","MINNIE.ROMERO@sakilacustomer.org","47 Syktyvkar Lane"
"2005-05-25 00:00:40","2005-05-28 00:22:40","MATRIX SNOWMAN","47 MySakila Drive","SIMPSON, ELLEN","ELLEN.SIMPSON@sakilacustomer.org","1666 Qomsheh Drive"
"2005-05-25 00:02:21","2005-05-31 22:44:21","HANGING DEEP","28 MySQL Boulevard","ISOM, DANNY","DANNY.ISOM@sakilacustomer.org","734 Bchar Place"
"2005-05-25 00:09:02","2005-06-02 20:56:02","WHALE BIKINI","47 MySakila Drive","BURNS, APRIL","APRIL.BURNS@sakilacustomer.org","483 Ljubertsy Parkway"
"2005-05-25 00:19:27","2005-05-30 05:44:27","GAMES BOWFINGER","47 MySakila Drive","BYRD, DEANNA","DEANNA.BYRD@sakilacustomer.org","862 Xintai Lane"
"2005-05-25 00:22:55","2005-05-30 04:28:55","KING EVOLUTION","47 MySakila Drive","MCWHORTER, RAYMOND","RAYMOND.MCWHORTER@sakilacustomer.org","503 Sogamoso Loop"
"2005-05-25 00:31:15","2005-05-26 02:56:15","MONTEREY LABYRINTH","28 MySQL Boulevard","CULP, THEODORE","THEODORE.CULP@sakilacustomer.org","1704 Tambaram Manor"
"2005-05-25 00:39:22","2005-06-03 03:30:22","PELICAN COMFORTS","47 MySakila Drive","WEINER, RONALD","RONALD.WEINER@sakilacustomer.org","1145 Vilnius Manor"
"2005-05-25 00:43:11","2005-05-26 04:42:11","BOOGIE AMELIE","47 MySakila Drive","CURLEY, STEVEN","STEVEN.CURLEY@sakilacustomer.org","651 Pathankot Loop"
"2005-05-25 01:06:36","2005-05-27 00:43:36","CONTACT ANONYMOUS","28 MySQL Boulevard","OGLESBY, ISAAC","ISAAC.OGLESBY@sakilacustomer.org","186 Skikda Lane"
"2005-05-25 01:10:47","2005-05-31 06:35:47","ROMAN PUNK","47 MySakila Drive","MARTINEZ, RUTH","RUTH.MARTINEZ@sakilacustomer.org","1417 Lancaster Avenue"
"2005-05-25 01:17:24","2005-05-31 06:00:24","HOLLOW JEOPARDY","28 MySQL Boulevard","RICKETTS, RONNIE","RONNIE.RICKETTS@sakilacustomer.org","1889 Valparai Way"
"2005-05-25 01:48:41","2005-05-27 02:20:41","SCISSORHANDS SLUMS","28 MySQL Boulevard","HARPER, ROBERTA","ROBERTA.HARPER@sakilacustomer.org","927 Barcelona Street"
"2005-05-25 01:59:46","2005-05-26 01:01:46","APACHE DIVINE","47 MySakila Drive","MORRELL, CRAIG","CRAIG.MORRELL@sakilacustomer.org","717 Changzhou Lane"
